sheet	longname	prefix	key	keystrokes	jump	selection	modifies	logged	video	menupath	helpstr
Sheet	freq-keys	g	F	gF	derived	n	n	y	2	data-aggregate-keys	open Frequency Table grouped by all key columns on the source sheet
Sheet	freq-rows		F	F	derived	n	n	y		data-aggregate-summary	open one-line summary for all selected rows
Sheet	go-bottom	g	j	gj	n	n	n	n			move all the way to the bottom of sheet
Sheet	go-col-number	z	c	zc	n	n	n	n		view-go-column-number	move to the given column number
Sheet	go-col-regex		c	c	n	n	n	n		view-go-column-regex	move to the next column with name matching regex
Sheet	go-down		j	j	n	n	n	n	*		move down
Sheet	go-end				n	n	n	n			go to last row and last column
Sheet	go-home				n	n	n	n			go to first row and first column
Sheet	go-left		h	h	n	n	n	n	*		move left
Sheet	go-leftmost	g	h	gh	n	n	n	n		view-go-far-left	move all the way to the left
Sheet	go-mouse			BUTTON1_PRESSED	n	n	n	n		view-go-mouse-row	
Sheet	go-right		l	l	n	n	n	n	*		move right
Sheet	go-rightmost	g	l	gl	n	n	n	n		view-go-far-right	move all the way to the right of sheet
Sheet	go-row-number	z	r	zr	n	n	n	n		view-go-row-number	move to the given row number
Sheet	go-top	g	k	gk	n	n	n	n			move all the way to the top of sheet
Sheet	go-up		k	k	n	n	n	n	*		move up
Sheet	help-commands	z	^H	z^H	meta	n	n	n		meta-commands	view sheet of commands and keybindings
Sheet	hide-col		-	-	n	n	n	y	2	column-hide	hide current column
Sheet	key-col		!	!	n	n	n	y	2,3,5	column-key-toggle	toggle current column as a key column
Sheet	key-col-off	z	!	z!	n	n	n	y		column-key-unset	unset current column as a key column
Sheet	key-col-on	g	!	g!	n	n	n	y			set current column as a key column
Sheet	melt		M	M	derived	n	n	y	1,5	data-melt	open melted sheet (unpivot)
Sheet	melt-regex	g	M	gM	derived	n	n	y		data-melt-regex	open melted sheet (unpivot), factoring columns
Sheet	next-null	z	>	z>	n	n	n	n		view-go-next-null	move down the current column to the next null value
Sheet	next-page		^F	^F	n	n	n	n			scroll one page forward
Sheet	next-search		n	n	n	n	n	n	2	view-find-forward-repeat	move to next match from last search
Sheet	next-selected		}	}	n	use	n	n	2	view-go-next-selected	move down the current column to the next selected row
Sheet	next-value		>	>	n	n	n	n		view-go-next-value	move down the current column to the next value
Sheet	open-config	g	O	gO	y	n	n	y			open ~/.visidatarc as text sheet
Sheet	options-global		O	O	meta static	n	n	n		meta-options	open global OptionsSheet
Sheet	options-sheet	z	O	zO	meta static	n	n	n		meta-options	open OptionsSheet for current SheetType
Sheet	page-left				n	n	n	n			move cursor one page left
Sheet	page-right				n	n	n	n			move cursor one page right
Sheet	paste-after		p	p	n	n	y	y	5	data-clipboard-paste-after	paste clipboard rows after current row
Sheet	paste-before		P	P	n	n	y	y		data-clipboard-paste-before	paste clipboard rows before current row
Sheet	paste-cell	z	p	zp	n	n	y	y		data-clipboard-paste-cell	set contents of current cell to last clipboard value
Sheet	paste-cell-before	z	P	zP	n	n	y	y			prepend to contents of current column for current row to last clipboard value
Sheet	paste-cells	gz	y	gzp	n	use	y	y			set current column for selected rows to the items from last clipboard
Sheet	paste-selected	gz	p	gzp	n	change	y	y		data-clipboard-paste-selected	set cells of current column for selected rows to last clipboard value
Sheet	pivot		W	W	derived	n	n	y	5	data-pivot	Pivot the current column into a new sheet
Sheet	plot-column		.	.	canvas	n	n	y	2,3	data-plot-column	graph the current column vs key columns Numeric key column is on the x-axis, while categorical key columns determine color
